Unnamed: 0,Thời gian,Tiêu đề,URL,content
0,18/11/2025 10:58,Phát Đạt thâu tóm dự án 239 Cách Mạng Tháng 8 từ Đại Quang Minh,https://cafef.vn/phat-dat-thau-tom-du-an-239-cach-mang-thang-8-tu-dai-quang-minh-188251118103632229.chn?utm_source=du-lieu,"Sau khi hoàn tất việc nhận chuyển nhượng, PDR sẽ sở hữu 50% tổng vốn điều lệ của AKYN. Thông qua thương vụ này, PDR sẽ thực hiện dự án nhà ở thương mại trên khu đất số 239 Cách Mạng Tháng 8, phường 4, quận 3, TPHCM (nay là phường Bàn Cờ, TPHCM) do AKYN làm chủ đầu tư.
Phát Đạt cho biết có kế hoạch đầu tư dự án 239 từ năm 2026-2030 với tổng giá trị dự kiến khoảng 5,500 tỷ đồng. Giá trị thương vụ nhận cổ phần AKYN vẫn chưa được các bên công bố.
Hình ảnh khu đất 239 CMT8. Ảnh: Google map
AKYN có tên gọi ban đầu là CTCP Đầu tư Thương mại Dịch vụ T.A.M, thành lập năm 2013 tại quận 8 cũ, TPHCM. Vốn ban đầu 68 tỷ đồng; các cổ đông sáng lập gồm bà Nguyễn Thị Mỹ Kim (Tổng Giám đốc kiêm đại diện pháp luật) góp 92%, ông Nguyễn Hữu Lê và Phan Thành Tâm mỗi người 4%. Tháng 6/2018, bà Nguyễn Minh Thư (con gái của Chủ tịch PDR Nguyễn Văn Đạt) lên làm đại diện pháp luật kiêm Chủ tịch HĐQT. Đầu 2019, Công ty đổi tên thành AKYN như hiện nay.
Cuối năm 2022, công ty bất ngờ giảm vốn điều lệ từ 2.018 tỷ đồng còn 513 tỷ đồng, giữ nguyên đến nay. Giữa năm 2023, ông Nguyễn Hoàng Tuệ (Tổng Giám đốc Đại Quang Minh) làm Chủ tịch HĐQT kiêm đại diện pháp luật, bà Thư làm Tổng Giám đốc kiêm đại diện pháp luật.
Hồi đầu năm 2025, Hiệp hội Bất động sản thành phố Hồ Chí Minh (HoREA) cho biết nhận được văn bản của AKYN báo cáo về quá trình thực hiện và kiến nghị, đề xuất giải pháp về dự án xây dựng chung cư cũ tại số 239 Cách Mạng Tháng Tám. Dự án được UBND quận 3 chấp chủ trương đầu tư và công nhận chủ đầu tư theo hình thức cải tạo, xây dựng chung cư cũ vào năm 2017 và cho gia hạn vào năm 2018, 2019 và 2021.
Từ năm 2015, AKYN (tên cũ là CTCP Đầu tư Thương mại Dịch vụ T.A.M) đã hoàn thành việc nhận chuyển nhượng và đăng bộ sang tên 50 Giấy chứng nhận quyền sở hữu nhà ở, quyền sử dụng đất sang tên Công ty đối với toàn bộ 50 căn hộ thuộc Dự án 239 Cách Mạng Tháng Tám, đã hoàn thành 10% bồi thường và giải phóng mặt bằng, đã được cấp Giấy chứng nhận quyền sử dụng đất và quyền sở hữu nhà từ năm 2000-2007 trên khu đất có diện tích 2.987m2.
Vào tháng 1/2025, Công ty AKYN cho biết “đang tiếp tục xử lý phần diện tích sàn phụ trợ sử dụng chung (hành lang, cầu thang, lối đi, lối thoát hiểm,… diện tích khoảng 382,4m2) và đất phân bổ tương ứng; Phần diện tích đất sân chung, khuôn viên. Tuy nhiên, Sở Xây dựng cho rằng các diện tích phụ trợ sử dụng chung vẫn thuộc sở hữu Nhà nước. Từ năm 2019, Công ty đã nhiều lần thực hiện các thủ tục nhằm mua lại phần phần diện tích sàn phụ trợ sử dụng chung và đất phân bổ tương ứng nhưng đến nay vẫn chưa được giải quyết.
Đại Quang Minh hiện có vốn điều lệ 18.2 ngàn tỷ đồng (mới tăng hồi tháng 7/2025 từ 16.62 ngàn tỷ đồng). Công ty do ông Trần Bá Dương làm Chủ tịch HĐQT và ông Nguyễn Hoàng Tuệ làm Tổng Giám đốc.
Về tình hình kinh doanh, ﻿theo BCTC hợp nhất do Phát Đạt công bố, trong quý 3/2025, doanh nghiệp ghi nhận doanh thu thuần về bán hàng và cung cấp dịch vụ đạt hơn hơn 506,5 tỉ đồng, vượt xa mức hơn chỉ 2,6 tỷ đồng cùng kỳ năm 2024.
Lũy kế 9 tháng đầu năm 2025, PDR ghi nhận hơn 964,3 tỷ đồng doanh thu thuần ﻿về bán hàng và cung cấp dịch vụ, tăng vượt bậc so với mức 173 tỷ đồng cùng kỳ năm 2024.
Lợi nhuận sau thuế đạt hơn 85,8 tỷ đồng tỉ đồng, tăng hơn tích cực so với mức hơn 51,2 tỷ đồng cùng kỳ năm 2024.
Lũy kế 9 tháng đầu năm, PDR lãi ròng hơn 201,3 tỷ đồng, tăng so với mức hơn 153,6 tỷ đồng cùng kỳ năm 2024﻿.
Nguồn: BCTC hợp nhất quý 3/2025 do PDR tự lập
Tăng trưởng chủ yếu nhờ doanh thu chuyển nhượng dự án Bắc Hà Thanh (Quy Nhơn, Gia Lai) và dự án Kỳ Đồng (TPHCM). Ngoài ra, doanh nghiệp ghi nhận 190 tỷ đồng thu nhập khác từ thanh lý tài sản và các khoản khác, góp phần cải thiện kết quả chung.
Dẫu vậy, Phát Đạt này vẫn đang chịu áp lực chi phí tài chính với chi phí lãi vay khoảng 74 tỷ đồng, song doanh nghiệp đã cơ cấu lại nguồn vốn theo hướng tích cực hơn khi giảm nợ ngắn hạn và tăng nợ dài hạn.
Dòng tiền từ hoạt động kinh doanh vẫn âm hơn 131,8 tỷ đồng, nhưng đã cải thiện đáng kể so với mức âm hơn 1.189,4 tỷ đồng cùng kỳ năm trước. Với lượng hàng tồn kho hơn 14,977 tỷ đồng, chiếm hơn 60% tổng tài sản, Phát Đạt đang trong quá trình khởi động lại các dự án để tận dụng đà phục hồi của thị trường."
1,17/11/2025 00:00,PDR: CBTT thông qua nhận chuyển nhượng toàn bộ cổ phần của CTCP Đầu tư Địa ốc Đại Quang Minh tại AKYN,https://cafef.vn/du-lieu/pdr-2341799/pdr-cbtt-thong-qua-nhan-chuyen-nhuong-toan-bo-co-phan-cua-ctcp-dau-tu-dia-oc-dai-quang-minh-tai-akyn.chn?utm_source=du-lieu,
2,12/11/2025 13:34,"Phát Đạt muốn rút 99% vốn khỏi công ty sở hữu khu đất “vàng” 3 mặt tiền ở Đà Nẵng, giá không dưới 1.100 tỷ đồng",https://cafef.vn/phat-dat-muon-rut-99-von-khoi-cong-ty-so-huu-khu-dat-vang-3-mat-tien-o-da-nang-gia-khong-duoi-1100-ty-dong-188251112133358699.chn?utm_source=du-lieu,"CTCP Phát triển Bất động sản Phát Đạt (HoSE: PDR) vừa phê duyệt chủ trương chuyển nhượng toàn bộ phần vốn góp tại công ty con là CTCP Đầu tư Bắc Cường, với mức giá dự kiến trên 1.100 tỷ đồng.
Theo nghị quyết, Chủ tịch HĐQT Nguyễn Văn Đạt được ủy quyền đại diện PDR trong việc tìm kiếm đối tác, đàm phán giá, lựa chọn thời điểm, phương thức chuyển nhượng và ký kết các thủ tục pháp lý liên quan.
Công ty Bắc Cường có vốn điều lệ 500 tỷ đồng, trong đó Phát Đạt nắm giữ 99%. Doanh nghiệp này đang sở hữu khu đất “vàng” rộng hơn 2.700 m² tại số 223–225 Trần Phú, phường Phước Ninh, quận Hải Châu, TP. Đà Nẵng — vị trí được đánh giá đắc địa khi có tới 3 mặt tiền giáp các tuyến đường Trần Phú, Bạch Đằng và Lê Hồng Phong.
Phát Đạt đã chi 640 tỷ đồng để đầu tư vào dự án này tính đến cuối quý III/2025, bao gồm chi phí chuyển nhượng, quyền sử dụng đất và xây dựng hạ tầng. Trước đó, năm 2021, PDR đã mua lại 99% vốn tại Bắc Cường, trở thành đơn vị nắm quyền phát triển toàn diện dự án.
Theo báo cáo thường niên 2024, dự án Trần Phú – Đà Nẵng đã được phê duyệt quy hoạch 1/500 và cấp phép xây dựng. Trong năm 2025, công ty dự kiến tiếp tục hoàn thiện điều chỉnh quy hoạch phân khu và hạ tầng trước khi tiến hành bước tiếp theo.
Trước khi chuyển nhượng phần vốn góp tại CTCP Đầu tư Bắc Cường, trước đó, ngày 27/10/2025, Phát Đạt thông qua chủ trương chuyển nhượng 79% vốn tại công ty con là Công ty TNHH Đầu tư Bất động sản Cao tầng Thuận An 1. Đáng chú ý, công ty này mới được thành lập vào ngày 4/9/2025, tức chưa đầy 2 tháng.
Công ty Thuận An 1 có trụ sở tại số 39 Phạm Ngọc Thạch, phường Xuân Hòa, TP.HCM – cùng địa chỉ với PDR. Hoạt động kinh doanh chính là phát triển bất động sản, với ông Bùi Quang Anh Vũ giữ vai trò Tổng Giám đốc kiêm đại diện pháp luật. Vốn điều lệ của công ty là 250 tỷ đồng, trong đó PDR nắm 99% và ông Trần Phước An nắm 1%. PDR cho biết việc thành lập công ty con nhằm mở rộng mảng phát triển đô thị cao tầng tại khu vực Bình Dương, chuẩn bị cho chiến lược giai đoạn 2026–2030.
Dự án khu nhà ở phức hợp Thuận An 1&2 có tổng diện tích hơn 44.677 m², trong đó Thuận An 1 chiếm gần 18.147 m², gồm 39 tầng nổi và 3–4 tầng hầm, cung cấp gần 2.700 căn hộ và shophouse. Công ty đã hoàn tất nghĩa vụ tài chính với dự án Thuận An 1 vào cuối tháng 4/2025 và được cấp giấy chứng nhận quyền sử dụng đất vào ngày 9/5/2025."
3,12/11/2025 00:00,PDR: Thông qua chủ trương chuyển nhượng toàn bộ cổ phần tại Công ty Cổ phần Đầu tư Bắc Cường,https://cafef.vn/du-lieu/pdr-2338386/pdr-thong-qua-chu-truong-chuyen-nhuong-toan-bo-co-phan-tai-cong-ty-co-phan-dau-tu-bac-cuong.chn?utm_source=du-lieu,
4,03/11/2025 22:09,Phát Đạt bán toàn bộ vốn công ty con trị giá hơn 1.408 tỉ đồng,https://cafef.vn/phat-dat-ban-toan-bo-von-cong-ty-con-tri-gia-hon-1408-ti-dong-188251103220425168.chn?utm_source=du-lieu,"Công ty CP Phát triển Bất động sản Phát Đạt (PDR) vừa công bố thông tin bất thường trên Sở Giao dịch Chứng khoán TP HCM (HoSE) về việc bán toàn bộ vốn trị giá hơn 1.408 tỉ đồng tại công ty con.
Cụ thể, Hội đồng Quản trị (HĐQT) PDR vừa thông qua chủ trương cho công ty con là Công ty CP Bất động sản Đầu tư và Phát triển Cao Ốc Bình Dương (Công ty Cao Ốc Bình Dương) thực hiện hai giao dịch liên quan đến Công ty CP Bất động sản Đầu tư và Phát triển Cao Ốc Thiên Long (Công ty Thiên Long).
Ông Nguyễn Văn Đạt là người được HĐQT Ủy quyền trong việc tìm kiếm đối tác, đàm phán và ký hợp đồng
Theo đó, cho Công ty Cao ốc Bình Dương mua thêm hơn 18,961 triệu cổ phần sẽ được phát hành mới của Công ty Thiên Long, với giá trị theo mệnh giá là 189,614 tỉ đồng. Sau đó, chuyển nhượng toàn bộ số cổ phần sở hữu tại Công ty Thiên Long bao gồm cả toàn bộ cổ phần hiện đang sở hữu và cổ phần sẽ được mua thêm. Tức là tổng cộng toàn bộ hơn 140,839 cổ phần, tương đương giá trị theo mệnh giá là 1.408,39 tỉ đồng, sang cho nhà đầu tư trong nước hoặc ngoài nước. Sau khi hoàn tất giao dịch chuyển nhượng cổ phần nêu trên, Công ty Thiên Long không còn là công ty con của Công ty Phát Đạt.
HĐQT ủy quyền cho các cá nhân gồm Nguyễn Văn Đạt - Chủ tịch HĐQT, ông Bùi Quang Anh Vũ - Tổng Giám đốc và Trần Thị Hường - Đại diện quản lý phần vốn góp kiêm Chủ tịch HĐQT tại Công ty Cao Ốc Bình Dương, thực hiện các công việc liên quan đến giao dịch chuyển nhượng.
Được biết, Công ty cao ốc Thiên Long là chủ đầu tư dự án Khu nhà ở phức hợp cao tầng Thuận An 1 (Thuận An - Bình Dương cũ). Dự án có diện tích khoảng 1,8 ha, cao 39 tầng và 3-4 tầng hầm, với số lượng gần 2.700 căn hộ, shophouse.
Hay ngay trong tháng 9 vừa qua, Công ty CP Phát triển Bất động sản Phát Đạt cũng thông qua chủ trương bán một phần vốn góp tại Công ty TNHH đầu tư Bất động sản Cao tầng Thuận An 1, là công ty mà Phát Đạt góp 99% vốn thành lập tháng 9-2025 với vốn điều lệ chỉ 250 triệu đồng, trong đó Phát Đạt góp 99%, tương đương với 247,5 triệu đồng.
Về cá nhân, vừa qua ông Nguyễn Văn Đạt đã bán xong 88 triệu cổ phiếu PDR, thu hơn 2.100 tỉ đồng khiến nhiều cổ đông lo lắng. Sau giao dịch đó, ông Đạt còn sở hữu 271,8 triệu đơn vị (27,7%).
Đóng cửa phiên giao dịch ngày 3-11, cổ phiếu PDR của Phát Đạt giảm sâu 5,1%, còn 21.300 đồng/cổ phiếu."
5,03/11/2025 00:00,PDR: Thông báo thông qua chủ trương cho Công ty con mua thêm cổ phần và chuyển nhượng toàn bộ cổ phần,https://cafef.vn/du-lieu/pdr-2334046/pdr-thong-bao-thong-qua-chu-truong-cho-cong-ty-con-mua-them-co-phan-va-chuyen-nhuong-toan-bo-co-phan.chn?utm_source=du-lieu,
6,01/11/2025 18:25,Hé lộ “ông lớn” bất động sản trả lương cho nhân viên gần 40 triệu đồng/tháng,https://cafef.vn/he-lo-ong-lon-bat-dong-san-tra-luong-cho-nhan-vien-gan-40-trieu-dongthang-188251101181930056.chn?utm_source=du-lieu.chn,"Trong 9 tháng từ đầu năm 2025, nhiều doanh nghiệp bất động sản lớn ghi nhận kết quả kinh doanh khởi sắc, cho thấy thị trường đang dần hồi phục sau giai đoạn trầm lắng. Cùng với đà phục hồi đó, thu nhập của người lao động trong ngành cũng có xu hướng cải thiện rõ rệt.
Tại Công ty CP Phát triển Bất động sản Phát Đạt (mã chứng khoán: PDR), doanh thu quý III/2025 tăng đột biến 19.380% so với cùng kỳ, đạt 506,5 tỉ đồng.
Dù doanh thu hoạt động tài chính giảm mạnh xuống còn dưới 2 tỉ đồng, giảm 99% so với quý III/2024 (194 tỉ đồng) nhưng nhờ kinh doanh khởi sắc, lãi sau thuế của Phát Đạt ở mức gần 86 tỉ đồng, tăng 67%.
Lũy kế 9 tháng từ đầu năm 2025, doanh thu thuần và lãi ròng của Phát Đạt lần lượt đạt hơn 964 tỉ đồng và hơn 201 tỉ đồng, tăng 457% và tăng 31% so với cùng kỳ năm ngoái.
Đến cuối tháng 9-2025, Phát Đạt có 238 lao động, giảm 48 người so với cuối năm 2024. Trong quý III, chi phí tiền lương đạt gần 26,2 tỉ đồng, giảm 7,7% so với cùng kỳ, song thu nhập bình quân của nhân viên vẫn tăng, đạt khoảng 36,7 triệu đồng/tháng - cao hơn  2,7 triệu đồng.
Trong khi đó, Chủ tịch công ty Nguyễn Phát Đạt có thu nhập 547 triệu đồng, tăng 12,8%; Tổng Giám đốc Bùi Quang Anh Vũ nhận hơn 1,6 tỉ đồng, tăng 14% so với cùng kỳ năm ngoái.
Thu nhập của nhân viên tăng theo đà hồi phục của các doanh nghiệp bất động sản
Kết thúc quý III/2025, Công ty CP Đầu tư và Phát triển Bất động sản An Gia (mã chứng khoán: AGG) ghi nhận doanh thu thuần 170 tỉ đồng, giảm 36% so với cùng kỳ. Nhờ chi phí bán hàng, quản lý giảm hơn 40% nên lãi sau thuế đạt 109 tỉ đồng, tăng 354% so với cùng kỳ năm trước.
Tuy nhiên, đà hồi phục trong quý III chưa đủ kéo kết quả chung cả năm của công ty. Lũy kế 9 tháng qua, An Gia đạt doanh thu 556 tỉ đồng, giảm 68%, và lãi sau thuế 199 tỉ đồng, giảm 17% so với cùng kỳ.
Trong 9 tháng từ đầu năm 2025, chi phí nhân sự của An Gia đạt 16,9 tỉ đồng, tăng gần 20% so với cùng kỳ năm ngoái, dù lao động giảm còn 111 người, ít hơn 10 người so với cuối năm 2024.
Tính ra, thu nhập bình quân của mỗi nhân viên đạt khoảng 16,9 triệu đồng/tháng, tăng 1,4 triệu đồng so với cùng kỳ.
Trong đó, Chủ tịch HĐQT Nguyễn Bá Sáng nhận hơn 1,8 tỉ đồng trong 9 tháng, tăng gấp 2,5 lần so với cùng kỳ năm trước, tương đương khoảng 208 triệu đồng/tháng.
Trong quý III/2025, Tập đoàn Đất Xanh (mã DXG) ghi nhận lợi nhuận sau thuế gần 93 tỉ đồng, gấp 3 lần cùng kỳ năm trước. Tính chung 9 tháng, lãi ròng đạt gần 223 tỉ đồng, tăng 2,3 lần và hoàn thành hơn 60% kế hoạch lợi nhuận năm.
Tính đến cuối tháng 9-2025, Đất Xanh có 3.516 nhân viên, tăng thêm 1.000 người so với cuối năm 2024.
Trong cùng kỳ, chi phí lương đạt khoảng 415 tỉ đồng, tăng 66,7%, tương đương mức thu nhập bình quân 13,1 triệu đồng/người/tháng, cao hơn gần 3 triệu đồng so với cùng kỳ năm ngoái.
Riêng ông Bùi Ngọc Đức, Tổng Giám đốc Đất Xạnh, trong 9 tháng đầu năm nhận lương 4,1 tỉ đồng (tăng hơn 1 tỉ đồng so với cùng kỳ), tương đương mỗi tháng khoảng 455 triệu đồng.
Công ty CP Tập đoàn Đầu tư Địa ốc No Va (Novaland, mã chứng khoán: NVL) cũng vừa công bố kết quả kinh doanh 9 tháng từ đầu năm 2025, ghi nhận doanh thu đạt gần 5.400 tỉ đồng.
Trong đó, doanh thu thuần từ bán hàng đạt gần 4.956 tỉ đồng, tăng 33%; doanh thu thuần từ cung cấp dịch vụ đạt 442 tỉ đồng. Dù vậy, công ty lỗ sau thuế hợp nhất đến 1.820 tỉ đồng, chủ yếu do giảm doanh thu hoạt động tài chính.
Tính đến cuối tháng 9-2025, Novaland có 1.134 nhân viên, tăng 41 người so với cuối năm 2024. Trong kỳ, chi phí nhân viên và quản lý đạt 240 tỉ đồng, tăng hơn 20% so với cùng kỳ. Tính bình quân, thu nhập của mỗi nhân viên khoảng 23,5 triệu đồng/tháng, tăng 1,8 triệu đồng so với năm ngoái.
Cũng trong 9 tháng từ đầu năm 2025, ông Bùi Thành Nhơn, Chủ tịch HĐQT Novaland, nhận thù lao 900 triệu đồng - không thay đổi so với năm trước. Hai thành viên HĐQT khác là ông Phạm Tiến Vân và ông Hoàng Đức Hùng cũng duy trì mức thù lao 450 triệu đồng/người.
Như vậy, mức thu nhập bình quân của nhân viên tại nhiều doanh nghiệp bất động sản dao động từ 13 triệu đến gần 37 triệu đồng/tháng."
7,28/10/2025 16:27,"Phát Đạt (PDR) tăng 68% lợi nhuận sau thuế trong quý III, dòng tiền dương trở lại",https://cafef.vn/phat-dat-pdr-tang-68-loi-nhuan-sau-thue-trong-quy-iii-dong-tien-duong-tro-lai-188251028162537626.chn?utm_source=du-lieu.chn,"Những con số mới nhất cho thấy Phát Đạt đã bước qua giai đoạn phòng thủ, trở lại trạng thái tăng trưởng có kiểm soát. Đây là kết quả của hành trình củng cố nền tảng tài chính và lấy lại đà tăng trưởng sau giai đoạn thị trường bất động sản trầm lắng.
Doanh thu và lợi nhuận tăng mạnh trở lại
Theo báo cáo, trong quý III/2025, Phát Đạt đạt doanh thu thuần 506,5 tỷ đồng, tăng vượt bậc so với cùng kỳ năm ngoái, được đóng góp nhiều nhất từ chuyển nhượng sản phẩm của dự án Quy Nhơn Iconic (Bắc Hà Thanh, Quy Nhơn) và chuyển nhượng dự án Kỳ Đồng (TP.HCM). Lợi nhuận sau thuế đạt 85,8 tỷ đồng, tăng 68% so với cùng kỳ.
Lũy kế 9 tháng đầu năm, Phát Đạt ghi nhận 964,4 tỷ đồng doanh thu thuần và 201,3 tỷ đồng lợi nhuận sau thuế, tương ứng tăng hơn 450% và 31% so với 9 tháng đầu năm 2024.
Biên lợi nhuận gộp đạt 49%, thuộc mức cao trong ngành, cho thấy hiệu quả từ danh mục dự án đã được cơ cấu lại. Các dự án bàn giao trong kỳ có biên lợi nhuận tốt, chi phí vốn tối ưu và pháp lý hoàn thiện, phản ánh chất lượng hoạt động cốt lõi đang được phục hồi.
Một trong những điểm sáng nổi bật trong báo cáo tài chính quý III của Phát Đạt là dòng tiền thuần từ hoạt động kinh doanh và tài chính đạt dương 90,8 tỷ đồng. Kết quả này cho thấy Phát Đạt đã kiểm soát hiệu quả dòng vốn lưu động, đặc biệt là đẩy mạnh thu hồi công nợ và tối ưu hóa hàng tồn kho.
Hiện Quy Nhơn Iconic đang đẩy mạnh bán hàng và được kỳ vọng tiếp tục đóng góp lớn vào doanh thu quý IV của Công ty.
Tính đến ngày 30/09/2025, các khoản phải thu ngắn hạn giảm hơn 760 tỷ đồng, trong khi nợ ngắn hạn giảm gần 960 tỷ đồng so với đầu năm. Cùng với đó, tiền và tương đương tiền cuối kỳ đạt 116 tỷ đồng, gấp hơn 4 lần so với đầu kỳ.
Việc dòng tiền dương trở lại giúp doanh nghiệp giảm áp lực vay mới, đồng thời tăng cường thanh khoản và khả năng chủ động tài chính.
Nợ giảm, vốn chủ tăng – cấu trúc tài chính cải thiện rõ rệt
Tại ngày 30/09/2025, tổng tài sản hợp nhất của Phát Đạt đạt 24.245 tỷ đồng, tăng nhẹ 1% so với cuối năm 2024. Nợ phải trả giảm 4,8% - xuống còn 12.305 tỷ đồng, trong khi vốn chủ sở hữu tăng 8% - lên 11.941 tỷ đồng, giúp tỷ lệ nợ/vốn chủ sở hữu giảm từ 1,17 lần xuống 1,03 lần – phản ánh cơ cấu tài chính an toàn hơn.
Phối cảnh tòa tháp Risa của dự án La Pura vừa chính thức được mở bán. Đây là một động lực tăng trưởng mới của Phát Đạt.
Việc phát hành cổ phiếu tăng vốn và chia cổ tức bằng cổ phiếu trong năm đã góp phần tăng năng lực vốn chủ, đồng thời giảm chi phí tài chính.
Chi phí lãi vay 9 tháng đạt 203 tỷ đồng, giảm nhẹ so với cùng kỳ, cho thấy doanh nghiệp đang kiểm soát tốt đòn bẩy tài chính trong bối cảnh lãi suất vẫn ở mức cao.
Tập trung nguồn lực cho giai đoạn tăng trưởng mới
Cùng với việc củng cố tài chính, Phát Đạt tiếp tục tái cấu trúc danh mục đầu tư, giảm tổng cam kết đầu tư xuống còn 4.973 tỷ đồng (so với hơn 5.400 tỷ đồng cuối 2024), thể hiện chiến lược tập trung nguồn lực cho các dự án có tiến độ rõ ràng và khả năng tạo dòng tiền nhanh.
Trong quý III, Phát Đạt đã thành lập Công ty TNHH BĐS Cao Tầng Thuận An 1, mở rộng hoạt động sang lĩnh vực phát triển đô thị cao tầng tại Bình Dương – khu vực đang nổi lên như “vành đai phát triển mới” của TP.HCM.
Môi trường sống được thiết kế vượt trội của phân khu Risa được tin tưởng sẽ tiếp tục thành công như phân khu Zenia đã được mở bán từ tháng 6.
Động thái này được đánh giá là bước chuẩn bị chiến lược cho giai đoạn 2026–2030, khi nhu cầu nhà ở thực và bất động sản đô thị vệ tinh dự báo tiếp tục tăng.
Bước sang quý IV/2025, Phát Đạt cho biết sẽ đẩy nhanh tiến độ các dự án trọng điểm, tăng tốc thu hồi công nợ và củng cố dòng tiền mạnh hơn. Bên cạnh đó, Công ty còn tập trung kiến tạo nền tảng tăng trưởng cân bằng giữa hiệu quả tài chính – trách nhiệm xã hội – giá trị thương hiệu."
8,28/10/2025 12:00,"Phát Đạt có doanh thu quý 3/2025 gấp 195 lần cùng kỳ, nhờ vào ""quả ngọt"" từ dự án Quy Nhơn Iconic và Kỳ Đồng (TP.HCM)",https://cafef.vn/phat-dat-co-doanh-thu-quy-32025-gap-195-lan-cung-ky-nho-vao-qua-ngot-tu-du-an-quy-nhon-iconic-va-ky-dong-tphcm-188251028120038636.chn?utm_source=du-lieu.chn,"Công ty Cổ phần Phát triển Bất động sản Phát Đạt (mã: PDR) vừa công bố báo cáo tài chính hợp nhất quý III/2025.
Theo đó, doanh thu thuần ghi nhận đạt 506 tỷ đồng, gấp gần 195 lần so với cùng kỳ năm ngoái (2,6 tỷ đồng). Doanh thu quý 3 được đóng góp nhiều nhất từ chuyển nhượng sản phẩm của dự án Quy Nhơn Iconic (Bắc Hà Thanh, Quy Nhơn) và chuyển nhượng dự án Kỳ Đồng (TP.HCM). Lợi nhuận sau thuế đạt 85,8 tỷ đồng, tăng 68% so với cùng kỳ.
Lũy kế 9 tháng đầu năm, Phát Đạt ghi nhận 964,4 tỷ đồng doanh thu thuần và 201,3 tỷ đồng lợi nhuận sau thuế, tương ứng tăng hơn 450% và 31% so với 9 tháng đầu năm 2024.
Một trong những điểm nổi bật trong báo cáo tài chính quý 3 của Phát Đạt là dòng tiền thuần từ hoạt động kinh doanh và tài chính đạt dương 90,8 tỷ đồng.
Tính đến ngày 30/09/2025, các khoản phải thu ngắn hạn giảm hơn 760 tỷ đồng, trong khi nợ ngắn hạn giảm gần 960 tỷ đồng so với đầu năm. Cùng với đó, tiền và tương đương tiền cuối kỳ đạt 116 tỷ đồng, gấp hơn 4 lần so với đầu kỳ.
Tại ngày 30/09/2025, tổng tài sản hợp nhất của Phát Đạt đạt 24.245 tỷ đồng, tăng nhẹ 1% so với cuối năm 2024. Nợ phải trả giảm 4,8% - xuống còn 12.305 tỷ đồng, trong khi vốn chủ sở hữu tăng 8% - lên 11.941 tỷ đồng, giúp tỷ lệ nợ/vốn chủ sở hữu giảm từ 1,17 lần xuống 1,03 lần.
Việc phát hành cổ phiếu tăng vốn và chia cổ tức bằng cổ phiếu trong năm đã góp phần tăng năng lực vốn chủ, đồng thời giảm chi phí tài chính. Chi phí lãi vay 9 tháng đạt 203 tỷ đồng, giảm nhẹ so với cùng kỳ, cho thấy doanh nghiệp đang kiểm soát tốt đòn bẩy tài chính.
Phát Đạt tiếp tục tái cấu trúc danh mục đầu tư, giảm tổng cam kết đầu tư xuống còn 4.973 tỷ đồng so với hơn 5.400 tỷ đồng cuối 2024, thể hiện chiến lược tập trung nguồn lực cho các dự án có tiến độ rõ ràng và khả năng tạo dòng tiền nhanh.
Trong quý 3, Phát Đạt đã thành lập Công ty TNHH BĐS Cao Tầng Thuận An 1, mở rộng hoạt động sang lĩnh vực phát triển đô thị cao tầng tại Bình Dương (cũ). Theo đại diện Phát Đạt, động thái này là bước chuẩn bị chiến lược cho giai đoạn 2026–2030, khi nhu cầu nhà ở thực và bất động sản đô thị vệ tinh dự báo tiếp tục tăng. Bước sang quý 4/2025, Phát Đạt cho biết sẽ đẩy nhanh tiến độ các dự án trọng điểm, tăng tốc thu hồi công nợ và củng cố dòng tiền mạnh hơn."
9,28/10/2025 00:00,PDR: Giải trình KQKD quý 3/2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PDR-2327145/pdr-giai-trinh-kqkd-quy-32025-so-voi-cung-ky-nam-truoc.chn?utm_source=du-lieu.chn,
