Unnamed: 0,Thời gian,Tiêu đề,URL,content
0,(14/11/2025 00:00),TCB: Nghị quyết HĐQT về ký Hợp đồng đại lý bảo hiểm giữa TCB-TCLife,https://cafef.vn/du-lieu/TCB-2340735/tcb-nghi-quyet-hdqt-ve-ky-hop-dong-dai-ly-bao-hiem-giua-tcbtclife.chn?utm_source=du-lieu,
1,(10/11/2025 00:00),TCB: HĐQT phê duyệt cấp thẻ tín dụng cho Ông DANNY LE là người có liên quan,https://cafef.vn/du-lieu/TCB-2336780/tcb-hdqt-phe-duyet-cap-the-tin-dung-cho-ong-danny-le-la-nguoi-co-lien-quan.chn?utm_source=du-lieu,
2,(07/11/2025 00:00),"TCB: 5.8.2026, giao dịch 21.388.675 cp niêm yết bổ sung",https://cafef.vn/du-lieu/TCB-2336134/tcb-582026-giao-dich-21388675-cp-niem-yet-bo-sung.chn?utm_source=du-lieu,
3,(04/11/2025 00:00),TCB: Bà Nguyễn Thu Lan - Phó Chủ tịch HĐQT đã mua 800.000 cp,https://cafef.vn/du-lieu/TCB-2334532/tcb-ba-nguyen-thu-lan-pho-chu-tich-hdqt-da-mua-800000-cp.chn?utm_source=du-lieu,
4,(31/10/2025 00:00),"TCB: 4.11.2025, niêm yết bổ sung 21.388.675 cp",https://cafef.vn/du-lieu/TCB-2333187/tcb-4112025-niem-yet-bo-sung-21388675-cp.chn?utm_source=du-lieu,
5,(29/10/2025 00:00),TCB: Nghị quyết HĐQT về cấp tín dụng cho Công ty TNHH Sản xuất và Thương mại Hoa Sen Vàng,https://cafef.vn/du-lieu/TCB-2332116/tcb-nghi-quyet-hdqt-ve-cap-tin-dung-cho-cong-ty-tnhh-san-xuat-va-thuong-mai-hoa-sen-vang.chn?utm_source=du-lieu,
6,(28/10/2025 00:00),TCB: Quyết định của HĐQT về việc thay đổi địa điểm và đổi tên phòng Giao dịch Central Park,https://cafef.vn/du-lieu/TCB-2327560/tcb-quyet-dinh-cua-hdqt-ve-viec-thay-doi-dia-diem-va-doi-ten-phong-giao-dich-central-park.chn?utm_source=du-lieu,
7,(24/10/2025 00:00),TCB: Nghị quyết HĐQT phê duyệt giao dịch/ hợp đồng cung cấp dịch vụ đại lý lưu ký cho Trái phiếu TCB phát hành riêng lẻ 2025 - lần 22,https://cafef.vn/du-lieu/TCB-2326162/tcb-nghi-quyet-hdqt-phe-duyet-giao-dich-hop-dong-cung-cap-dich-vu-dai-ly-luu-ky-cho-trai-phieu-tcb-phat-hanh-rieng-le-2025-lan-22.chn?utm_source=du-lieu,
8,(24/10/2025 00:00),TCB: Bà Nguyễn Thu Lan - Phó Chủ tịch HĐQT đăng ký mua 800.000 cp,https://cafef.vn/du-lieu/TCB-2326284/tcb-ba-nguyen-thu-lan-pho-chu-tich-hdqt-dang-ky-mua-800000-cp.chn?utm_source=du-lieu,
9,(21/10/2025 16:32),"Lợi nhuận 9 tháng đầu năm 2025 của Techcombank cao nhất nhóm ngân hàng tư nhân, tỷ lệ CASA tiếp tục dẫn đầu ngành",https://cafef.vn/loi-nhuan-9-thang-dau-nam-2025-cua-techcombank-cao-nhat-nhom-ngan-hang-tu-nhan-ty-le-casa-tiep-tuc-dan-dau-nganh-188251021163259026.chn?utm_source=du-lieu,"Lợi nhuận quý 3/2025 gần 8.300 tỷ đồng, nhiều nguồn thu dịch vụ tăng mạnh
Trong 9 tháng đầu năm 2025, lợi nhuận trước thuế của Techcombank đạt 23,4 nghìn tỷ đồng, tăng 2,4% so với cùng kỳ. Trong đó, lợi nhuận trước thuế quý 3/2025 đạt 8,3 nghìn tỷ đồng, tăng 14,4%, là mức lợi nhuận trước thuế theo quý cao nhất từ trước tới nay của Ngân hàng.
Tổng thu nhập hoạt động (TOI) của Techcombank đạt 38,6 nghìn tỷ đồng, tăng 3,1% so với cùng kỳ tăng năm trước. Riêng TOI quý 3 năm 2025 tăng 21,2% so với cùng kỳ , với đà tăng trưởng mạnh mẽ ở cả thu nhập lãi, thu nhập từ phí, và thu nhập từ kinh doanh ngoại hối.
Thu nhập lãi thuần (NII) đạt 27,4 nghìn tỷ đồng trong 9 tháng đầu năm, tăng 1,7%. Biên lãi thuần (NIM) theo quý ổn định ở mức 3,8% nhờ chi phí vốn cải thiện.
Thu nhập từ hoạt động dịch vụ (NFI) đạt 8,4 nghìn tỷ đồng trong 9 tháng đầu năm, tăng 1,3% trên nền cao của năm ngoái, đưa tỷ lệ Thu nhập từ phí/Tổng thu nhập hoạt động cao nhất hệ thống. Trong đó, phí dịch vụ ngân hàng đầu tư (IB) tiếp tục là nguồn thu lớn nhất, đạt 3,4 nghìn tỷ đồng, tăng 32,8% so với cùng kỳ. Tất cả các mảng dịch vụ chính như tư vấn phát hành và phân phối trái phiếu, và môi giới đều tiếp tục tăng trưởng mạnh mẽ.
Thu từ thư tín dụng (LC), tiền mặt và thanh toán đạt 2,1 nghìn tỷ đồng, giảm 30,7% do thay đổi phương pháp hạch toán sản phẩm UPAS L/C. Tuy vậy, kết quả quý 3 vẫn ghi nhận mức tăng trưởng tích cực 9,0% so với quý trước, thúc đẩy bởi những sản phẩm tài trợ thương mại thay thế khác, đáp ứng nhu cầu đa dạng của khách hàng.
Thu phí từ dịch vụ thẻ đạt 1,2 nghìn tỷ đồng, giảm 21,7% do xu hướng của ngành, dịch chuyển từ hình thức thanh toán bằng thẻ sang các hình thức thanh toán khác như mã QR.
Thu từ dịch vụ ngoại hối đạt 896 tỷ đồng, tăng 46,8%. Thu từ phí dịch vụ bảo hiểm đạt 800 tỷ đồng, tăng 34,8%. Riêng trong quý 3, phí dịch vụ bảo hiểm ghi nhận mức tăng trưởng nổi bật 66,2%, đạt 348 tỷ đồng. Ngân hàng tiếp tục giữ vững vị thế, với phí bảo hiểm quy năm (APE) tính trong quý 3 đứng vị trí số 1 toàn ngành.
Ngoài ra, ngân hàng ghi nhận thu từ nợ đã xử lý bằng nguồn dự phòng rủi ro (DPRR) đạt 1,1 nghìn tỷ đồng trong 9 tháng đầu năm, tăng 32,7%.
Chi phí hoạt động tiếp tục được kiểm soát tốt, ghi nhận ở mức 11.600 tỷ đồng. Tỷ lệ CIR (tỷ lệ chi phí/thu nhập) ở mức 30,1%, thuộc nhóm tốt nhất trên thị trường.
Chi phí dự phòng trong 9 tháng đầu năm ghi nhận mức giảm 9,1%, xuống còn 3,6 nghìn tỷ đồng, phản ánh chất lượng tài sản của các khoản vay mua nhà và thẻ tín dụng được cải thiện đáng kể.
Số dư CASA lập kỷ lục mới
Tại 30/09/2025, tổng tài sản của Techcombank đã đạt hơn 1,13 triệu tỷ đồng. Xét riêng Ngân hàng, tín dụng tăng trưởng ổn định ở mức 16,8% so với đầu năm.
Trên cơ sở hợp nhất, tăng trưởng tín dụng mạnh mẽ ở cả khách hàng cá nhân và doanh nghiệp. Trong đó, tín dụng cá nhân tăng 20,2% với động lực chính từ cho vay ký quỹ (tăng 61%), cho vay mua nhà (tăng 14,4%). Cho vay tín chấp tăng trưởng vượt trội ở mức 180% so với đầu năm và 450% so với cùng kỳ. Tín dụng doanh nghiệp tăng 16,2%. Ngân hàng tiếp tục đa dạng hoá danh mục tín dụng, tăng trưởng cao ở lĩnh vực Tiện ích và Viễn thông (tăng 65,3% so với đầu năm), tiếp sau là lĩnh vực FMCG, Bán lẻ, và Logistics (tăng 17,7% so với đầu năm và 19,8%).
Về huy động vốn, tiền gửi khách hàng tại Techcombank cuối tháng 9 đạt 638,5 nghìn tỷ đồng, tăng 24,1% so với đầu năm. Tỷ lệ CASA (tiền gửi không kỳ hạn + Sinh lời tự động) đạt 42,5%, thuộc nhóm đầu ngành. Số dư CASA của phân khúc khách hàng cá nhân bao gồm số dư Sinh lời tự động tăng 29,5%, trong khi CASA từ khách hàng doanh nghiệp cũng tăng 46%. Kết quả này được thúc đẩy bởi các giá trị vượt trội dành cho khách hàng như Techcombank Sinh lời tự động 2.0, giải pháp cho hộ kinh doanh và dịch vụ thanh toán toàn diện.
Tỷ lệ nợ xấu giảm, dự phòng bao nợ xấu trên ngưỡng 100% trong 8 quý liên tiếp
Techcombank tiếp tục duy trì chất lượng tài sản vững chắc, với tỷ lệ nợ xấu (NPL) cải thiện từ 1,32% xuống 1,23%. Tỷ lệ bao phủ nợ xấu (LLC) đạt 119,1%, đánh dấu quý thứ 8 liên tiếp trên ngưỡng 100%.
Các tỷ lệ về thanh khoản và an toàn vốn tiếp tục đảm bảo yêu cầu của Ngân hàng Nhà nước. Trong đó, hệ số an toàn vốn (CAR) đạt 15,8% (cao hơn nhiều so với yêu cầu tối thiểu 8% của Basel II). Tỷ lệ cho vay trên tiền gửi (LDR) ở mức 81,2%. Tỷ lệ nguồn vốn ngắn hạn cho vay trung dài hạn giảm từ 26,4% (quý II) xuống còn 24,1% (quý III).
Hôm nay ngày 21/1, công ty con của Techcombank là Công ty Cổ phần Chứng khoán Kỹ Thương (HOSE: TCX) chính thức giao dịch tại HOSE với giá tham chiếu trong ngày đầu giao dịch là 46.800 đồng/cp. Trong 9 tháng đầu năm, TCX ghi nhận lợi nhuân trước thuế đạt 5.067 tỷ đồng, tăng 31% so với cùng kỳ và hoàn thành 90% kế hoạch năm.
Techcombank cũng chứng kiến tăng trưởng quy mô khách hàng ấn tượng trong năm nay. Cuối tháng 9, Techcombank phục vụ khoảng 17 triệu khách hàng, tăng gần 1,7 triệu khách so với đầu năm. Trong đó, 62,4% khách hàng cá nhân được thu hút qua nền tảng số, 30,1% từ mạng lưới chi nhánh và 7,5% từ các đối tác trong hệ sinh thái. Ngân hàng duy trì vị thế ""ngân hàng giao dịch chính"" khi tiếp tục đứng số 1 về thị phần giao dịch chiều đi (17,3%) và giao dịch chiều nhận (15,8%) trong 9 tháng đầu năm 2025.
Theo ông Jens Lottner, CEO Techcombank, kết quả tích cực được thúc đẩy bởi nhu cầu tín dụng mạnh mẽ, cùng với chiến lược ‘lấy khách hàng làm trọng tâm’ và đà tăng trưởng của nền kinh tế Việt Nam. Ngoài ra, sự kiện chào bán cổ phiếu lần đầu ra công chúng (IPO) của TCX với lượng đăng ký mua vượt mức chào bán là một cột mốc lịch sử đối với Techcombank và thị trường vốn Việt Nam. Điều này thể hiện niềm tin mạnh mẽ của nhà đầu tư vào hệ sinh thái tài chính của Ngân hàng và khả năng khai mở những cơ hội tăng trưởng mới, đồng thời thúc đẩy sự phát triển của thị trường vốn những năm tới."
